 IMAGES,Original Text ,,
8ccac23f-dca2-4477-8a74-73283933da6d,"""=PTRPWRTRN+TOB2-FC5: 1""",,
39bb0721-4ebf-4e61-a208-53bb97e5f4d2,"""=PTRPWRTRN+TOB2-FC5: 1""",,
362a6527-7d14-4c04-92a3-eee8b5c816fb,"""=APSELESUP+TOB2-TB1: +""",,
319291cd-6e17-4e4a-95f2-e16c5847b839,"""+T0B2-XD0B_3: -: a""",,
b35015ff-8849-4f18-835a-c0b076a69e7b,"""=APSELESUP+TOB2-TB1: +""",,
bcbc9729-905e-4735-a8d5-6b241abf92e3,"""+TOB2-XDN1:N7: a""",,
c2a6afee-1079-40eb-887d-10f0194d2df6,"""+TOB2-XDN1:N7: a""",,
c31a6148-24f7-4759-9211-251f223702bb,"""=APSELESUP+T0B2-KF5: 11""",,
cee69595-83fa-48d1-b2e5-ca95c550c6a6,"""+T0B2-XDN1:N7: a""",,
d3ee3212-f5c9-47f4-8b66-fcc3ef680364,"""=YACYAWACT+TOB3-TA4:PE""",,
d57ac422-bd32-4d21-91aa-37ff60ddfe3b,"""=APSELESUP+TOB2-KF5: 11""",,
f16fb7ec-3dc9-4a2b-bb5a-064cd0990df2,"""+T0B3-XE1:PE4:b """,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
